,key,time
0,A,0
1,T,675
2,5,1782
3,1,2367
4,I,3555
5, ,4185
6,J,4711
7,7,5265
8,Q,6031
9,8,6704
10,C,7485
11,6,8141
12, ,8730
13,U,9255
14,F,9855
15,S,10770
16,Z,11400
17,3,12180
18,K,12720
19, ,13151
20,U,13650
21,A,14171
22,7,14782
23,W,15405
24,X,16169
25,Z,16920
26, ,17490
27,H,18060
28,9,18945
29,O,20309
30,2,20849
31,X,21552
32,1,22078
33,M,23291
34,5,23879
35,J,24614
36,Q,25199
37,O,25934
38,E,26534
39, ,27029
40,M,27539
41,Y,28045
42,R,28649
43,E,29201
44,D,29724
45,H,30299
46, ,30854
47,X,31439
48,B,32054
49,R,32774
50,J,33355
51,H,33942
52,4,34556
53, ,35065
54,J,35606
55,7,36224
56,D,36974
57,B,37604
58,J,38984
59,5,39565
60, ,40077
61,O,40649
62,L,41249
63,7,41969
64,1,42733
65,6,44459
66,3,44905
67,W,46136
68,B,46828
69,M,47471
70,5,48100
71,4,48628
72,P,49288
73, ,49810
74,G,50364
75,3,50983
76,4,51958
77,V,53803
78,8,54280
79,V,54807
80, ,55317
81,N,55843
82,Z,56413
83,C,57058
84,C,57673
85,7,58197
86,V,58843
87, ,59503
88,0,60268
89,L,60853
90,6,62214
91,K,63043
92,W,63628
93,3,64408
94, ,65022
95,L,65546
96,E,66072
97,4,66867
98,P,67257
99,I,67827
100,S,68442
101,C,69537
102,9,70152
103,B,70929
104,O,71694
105,I,72369
106,0,72849
107, ,73404
108,F,73927
109,R,74454
110,S,75114
111,U,75699
112,2,76284
113,D,76888
114, ,77457
115,D,77907
116,C,78473
117,M,79047
118,A,79566
119,5,80097
120,G,80908
121, ,81460
122,F,81968
123,Q,82723
124,1,83517
125,I,84176
126,G,85345
127,Backspace,86261
128,6,87162
129,E,88002
130, ,88617
131,6,89367
132,Y,90237
133,H,91181
134,4,91992
135,Y,92921
136,H,93431
137,9,94763
138,2,95377
139,Y,96567
140,U,97119
141,X,98382
142,K,99266
143, ,99953
144,A,100691
145,8,101262
146,I,102011
147,D,102547
148,N,103223
149,U,103750
150, ,104381
151,G,105356
152,R,105836
153,M,106376
154,Z,106871
155,T,107410
156,L,107906
157, ,108415
158,V,108881
159,V,109373
160,9,109899
161,F,110452
162,O,110876
163,P,111427
164, ,111940
165,X,112511
166,R,113047
167,N,113636
168,T,114219
169,N,114716
170,N,115270
171,W,116440
172,F,116921
173,Q,117565
174,G,118165
175,9,119647
176,E,120205
177, ,121150
178,1,121916
179,2,122485
180,T,123411
181,S,123970
182,K,124762
183,Y,125380
184, ,125936
185,8,126685
186,0,127375
187,P,128425
188,P,128905
189,8,129460
190,0,129994
191, ,130630
192,W,131185
193,Q,131872
194,K,132546
195,S,133101
196,Z,134739
197,L,135518
198, ,136055
199,2,136536
200,3,137034
201,A,137605
202,G,138171
203,T,138715
204,0,139270
