,key,time
0,C,0
1,4,528
2,R,1623
3,3,1998
4,E,2463
5, ,2928
6,1,3405
7,1,3753
8,X,4324
9,7,5550
10,A,5958
11,J,6929
12, ,7384
13,N,7830
14,S,8314
15,D,8868
16,V,9824
17,6,10379
18,X,10998
19, ,11733
20,9,12687
21,P,13188
22,Y,13803
23,Y,14283
24,0,14897
25,Z,15510
26, ,16442
27,0,17778
28,K,18812
29,O,19382
30,X,19964
31,C,20369
32,G,20791
33,D,22097
34,F,22563
35,H,24138
36,Y,24630
37,8,25232
38,C,25817
39, ,26504
40,T,27271
41,4,27841
42,Y,29148
43,X,30058
44,R,30858
45,M,31411
46, ,31952
47,8,32627
48,F,33269
49,J,34232
50,L,35084
51,B,36016
52,5,36497
53, ,37036
54,K,37651
55,7,38206
56,U,38792
57,G,39658
58,A,40170
59,2,41387
60, ,42316
61,N,43022
62,H,43591
63,C,44743
64,R,45166
65,Z,46756
66,4,47746
67,O,49275
68,1,50026
69,J,50758
70,0,51555
71,5,52457
72,H,53142
73, ,53971
74,7,54672
75,3,55516
76,M,56505
77,V,57072
78,N,57882
79,2,58620
80, ,59265
81,B,59955
82,U,60552
83,5,61756
84,D,63241
85,R,63720
86,X,64992
87, ,65610
88,3,66271
89,C,66870
90,T,67977
91,T,68430
92,I,68970
93,Q,69811
94, ,70620
95,5,71667
96,O,72554
97,G,73424
98,E,73980
99,L,74369
100,E,74879
101,9,76411
102,Q,77129
103,K,77954
104,G,78521
105,M,79154
106,4,79857
107, ,80501
108,W,81074
109,0,81806
110,Q,82679
111,A,83370
112,A,83848
113,B,84420
114, ,84985
115,1,85544
116,7,86174
117,F,87209
118,J,87869
119,L,88738
120,9,89276
121, ,89890
122,3,90460
123,B,91076
124,S,91754
125,P,93104
126,8,93718
127,P,94331
128, ,94888
129,S,95383
130,F,95788
131,O,96388
132,D,97048
133,W,97495
134,N,98053
135,Backspace,98744
136,6,100030
137,W,101308
138,8,101861
139,Q,102419
140,W,103123
141,Backspace,103588
142,E,103874
143,U,104293
144,R,104770
145, ,105251
146,B,105673
147,I,106452
148,U,107113
149,S,107724
150,5,108252
151,Z,110008
152, ,110818
153,I,111313
154,P,111852
155,F,112525
156,3,113322
157,4,113848
158,W,114535
159, ,115092
160,2,116127
161,S,116739
162,0,117849
163,S,118452
164,V,118948
165,M,119427
166,Backspace,120027
167,Backspace,120459
168,Backspace,120943
169,2,122862
170,V,123684
171,M,124273
172, ,125083
173,9,125697
174,E,126237
175,H,126897
176,6,127947
177,V,128322
178,Q,128756
179,I,129972
180,Y,130495
181,9,131336
182,M,132101
183,K,132698
184,N,133256
185, ,134049
186,H,134697
187,Z,135282
188,O,135986
189,T,136943
190,7,137832
191,6,138281
192, ,138986
193,J,139568
194,Z,140575
195,T,143831
196,G,144743
197,N,145137
198,L,145616
199, ,146246
200,D,147491
201,V,148042
202,K,149051
203,2,149726
204,U,150457
205,A,150956
206, ,151526
207,6,152767
208,W,153472
209,8,154900
210,1,155455
211,P,156296
212,L,156757
