,key,time
0,I,0
1,Y,480
2,S,971
3,C,1770
4,G,2460
5, ,3015
6,Q,3585
7,Y,4229
8,N,4785
9,Z,6342
10,H,6761
11,K,7256
12, ,7768
13,4,8504
14,R,9028
15,H,9556
16,M,10420
17,R,10901
18,C,11399
19, ,11970
20,0,12749
21,R,13481
22,4,14549
23,2,15134
24,T,16379
25,Q,17065
26, ,17789
27,M,18763
28,F,19259
29,0,19919
30,7,21388
31,3,21925
32,B,22813
33,0,24479
34,8,25019
35,7,25619
36,6,26969
37,D,28949
38,L,29413
39, ,29922
40,S,30493
41,7,31044
42,V,31900
43,J,32470
44,9,33373
45,9,33823
46, ,34332
47,S,34754
48,E,35488
49,5,36598
50,8,37149
51,W,37889
52,6,38772
53, ,39463
54,F,40044
55,W,40648
56,D,41785
57,2,42414
58,N,43404
59,4,44068
60, ,44697
61,X,45177
62,Y,45868
63,G,46764
64,R,47232
65,G,47892
66,F,48613
67,J,49992
68,P,50453
69,M,51098
70,B,51912
71,A,52433
72,L,52902
73, ,53408
74,F,53920
75,B,54687
76,6,56097
77,D,57237
78,P,57701
79,V,58271
80, ,58792
81,8,59325
82,C,60207
83,6,61106
84,U,61691
85,1,62621
86,3,63056
87, ,63581
88,8,64286
89,9,64872
90,5,65831
91,P,67121
92,O,67601
93,S,68140
94, ,68741
95,T,69281
96,O,69986
97,6,71123
98,3,71647
99,I,72608
100,U,73222
101,X,74725
102,L,75187
103,I,76000
104,E,76702
105,W,77213
106,H,77815
107, ,78325
108,V,78850
109,U,79282
110,7,79871
111,3,80846
112,9,81790
113,Q,82552
114, ,83290
115,O,84686
116,A,85101
117,M,85825
118,4,86947
119,T,87502
120,T,88014
121, ,88524
122,Q,89091
123,I,89560
124,O,90113
125,5,91026
126,O,91510
127,2,92001
128, ,92455
129,U,92950
130,A,93430
131,W,93969
132,7,95019
133,2,95514
134,Backspace,96534
135,1,96921
136,A,97311
137,W,98691
138,1,99139
139,B,100420
140,C,100946
141,5,102400
142,3,102894
143, ,103415
144,5,104394
145,E,105009
146,P,106224
147,L,106583
148,9,107183
149,1,107769
150, ,108323
151,A,108953
152,K,109449
153,8,110109
154,H,110915
155,Q,111488
156,I,112073
157, ,112569
158,P,113138
159,B,113708
160,Z,114321
161,0,115925
162,J,116408
163,K,117140
164, ,117743
165,D,118280
166,2,118838
167,R,119707
168,E,120203
169,2,120829
170,Y,121778
171,0,123274
172,4,123983
173,N,124793
174,K,125319
175,K,125853
176,F,126458
177, ,127009
178,M,127583
179,S,128122
180,X,129773
181,1,130642
182,Z,131468
183,V,131933
184, ,132471
185,Y,132999
186,N,133478
187,L,134063
188,D,134812
189,X,135292
190,C,135784
191, ,136294
192,J,136924
193,Z,137434
194,U,138022
195,G,138922
196,X,139416
197,Z,139926
198, ,140450
199,V,141082
200,G,141606
201,E,142158
202,T,142911
203,H,143418
204,J,143947
