,key,time
0,N,0
1,A,1035
2,5,1877
3,4,2368
4,0,2971
5, ,3766
6,L,4213
7,T,4573
8,C,5072
9,6,6707
10,Y,8012
11,F,8416
12, ,8925
13,X,9571
14,T,10292
15,W,11233
16,R,11882
17,7,12897
18,X,13486
19, ,14011
20,0,14597
21,K,15301
22,3,16258
23,4,16832
24,R,17761
25,9,18271
26, ,18838
27,1,19392
28,G,19831
29,U,20416
30,E,20952
31,S,21387
32,B,21886
33,2,25530
34,Y,26040
35,Q,26611
36,Z,27706
37,F,28336
38,H,28920
39, ,29472
40,6,30391
41,H,30926
42,Z,31472
43,3,32337
44,E,32835
45,5,33705
46, ,34275
47,2,34980
48,A,35595
49,O,36735
50,L,37319
51,Z,37935
52,Backspace,38456
53,X,38866
54,K,39417
55, ,39871
56,O,40455
57,P,41010
58,I,41955
59,R,42491
60,M,43095
61,C,48837
62, ,49661
63,C,50325
64,S,50921
65,I,51570
66,D,52260
67,F,52740
68,M,53280
69,L,54316
70,B,54765
71,7,55380
72,U,56444
73,8,56984
74,T,57930
75, ,58380
76,G,58889
77,H,59324
78,E,59893
79,O,60776
80,7,61754
81,0,62534
82, ,63176
83,Q,63884
84,8,64586
85,G,65906
86,2,66494
87,7,68549
88,M,69239
89, ,69748
90,A,70300
91,N,70810
92,B,71428
93,2,72089
94,O,72670
95,I,73379
96, ,73994
97,J,74729
98,8,75343
99,R,76829
100,P,77578
101,C,78524
102,8,79063
103,3,80576
104,F,81058
105,E,81553
106,1,82378
107,O,82975
108,V,83486
109, ,84044
110,N,84598
111,V,85300
112,5,86443
113,K,87550
114,J,88889
115,G,89427
116, ,89997
117,Q,90524
118,B,91198
119,Z,91993
120,9,92833
121,K,93823
122,5,94468
123, ,95019
124,H,95593
125,N,96088
126,L,96808
127,C,97423
128,Y,98217
129,J,99162
130, ,100542
131,H,101232
132,I,101757
133,2,102642
134,X,103243
135,D,103677
136,D,104067
137,J,105387
138,3,105849
139,P,106963
140,A,107409
141,Q,107967
142,D,108476
143, ,108954
144,P,110532
145,9,111567
146,1,112088
147,Z,112644
148,U,113157
149,4,113680
150, ,114162
151,L,114657
152,E,115077
153,X,115599
154,3,116457
155,Y,116892
156,I,117477
157,Backspace,118403
158,1,119622
159, ,121313
160,V,122258
161,J,123237
162,I,123986
163,Q,124556
164,W,125157
165,4,125997
166, ,126668
167,V,127317
168,M,127902
169,9,128498
170,V,129131
171,8,130016
172,W,130602
173,U,131922
174,U,132357
175,S,132837
176,S,133297
177,M,133796
178,Y,134588
179, ,135176
180,S,135851
181,T,136331
182,D,136857
183,A,137381
184,W,137861
185,T,138461
186, ,139122
187,9,140111
188,R,141416
189,4,142601
190,W,143572
191,1,144127
192,6,145402
193, ,146665
194,6,147220
195,5,147730
196,0,148254
197,7,150715
198,G,151570
199,K,152105
200, ,152767
201,P,153591
202,0,154207
203,B,154945
204,F,155530
205,6,156861
206,5,156877
207,Backspace,157476
208,N,158576
