,key,time
0,J,0
1,H,660
2,8,1590
3,M,2172
4,Z,2610
5, ,3150
6,7,3780
7,Y,4740
8,L,5371
9,Z,6435
10,3,6986
11,V,7545
12, ,8052
13,N,8475
14,S,8954
15,I,9539
16,V,10031
17,U,10481
18,U,10980
19, ,11441
20,N,12000
21,G,12495
22,L,13284
23,M,13784
24,5,14249
25,R,14730
26, ,15191
27,K,15690
28,G,16198
29,2,16800
30,G,19214
31,L,19679
32,O,20819
33,R,22028
34,6,23277
35,3,24194
36,3,24629
37,C,25620
38,F,26114
39, ,26861
40,A,27372
41,F,27895
42,B,28408
43,P,29455
44,P,29864
45,Y,30433
46, ,30956
47,P,31529
48,4,32144
49,Q,32953
50,M,33659
51,Z,34528
52,Backspace,35129
53,X,35443
54,M,35950
55, ,36401
56,I,36912
57,H,37439
58,4,38020
59,8,38924
60,E,39614
61,7,40273
62, ,44758
63,9,45595
64,7,46124
65,A,46812
66,O,47398
67,4,48282
68,E,48853
69,Z,49915
70,U,50382
71,A,50922
72,5,51429
73,A,51941
74,U,52482
75, ,53034
76,D,53533
77,C,53995
78,J,54580
79,8,55435
80,D,56292
81,9,56877
82, ,57459
83,9,58063
84,9,58508
85,Q,59124
86,L,60102
87,D,60549
88,3,61182
89, ,61752
90,T,62288
91,2,62832
92,J,63747
93,1,64449
94,5,66056
95,8,66593
96, ,67209
97,S,67703
98,P,68215
99,K,68877
100,I,69596
101,V,70092
102,L,70661
103,1,71667
104,G,72177
105,T,72731
106,B,73523
107,6,74483
108,B,74993
109, ,75805
110,F,76346
111,K,76882
112,V,77471
113,O,78072
114,X,78686
115,X,79211
116, ,79751
117,J,80278
118,I,80756
119,U,81265
120,5,82268
121,5,82632
122,B,83137
123, ,83666
124,Y,84266
125,1,84837
126,Z,85976
127,O,86516
128,W,87458
129,C,87926
130, ,88586
131,M,89291
132,Q,89891
133,H,90909
134,2,91510
135,S,92290
136,6,92980
137,E,94045
138,A,94436
139,S,94930
140,I,95561
141,W,96040
142,W,96415
143, ,96896
144,8,97670
145,R,98122
146,3,99340
147,0,99849
148,E,100645
149,F,101050
150, ,101559
151,B,102157
152,E,102531
153,Q,103075
154,V,103867
155,7,104391
156,4,104919
157, ,105445
158,H,106046
159,F,106420
160,Y,106929
161,1,107722
162,T,108251
163,T,108562
164, ,109015
165,W,109476
166,C,109914
167,R,110980
168,H,111700
169,Q,112328
170,6,112974
171,T,114250
172,X,114625
173,D,115116
174,Y,116274
175,K,116661
176,P,117054
177, ,117561
178,2,118120
179,W,118611
180,X,120174
181,0,120895
182,R,121674
183,S,122165
184, ,123861
185,1,125079
186,N,125603
187,4,126231
188,7,127134
189,9,127656
190,O,128165
191, ,128645
192,K,129114
193,0,129770
194,N,130434
195,0,131063
196,6,132624
197,G,133178
198, ,134304
199,2,135158
200,Z,136254
201,D,137634
202,N,138275
203,C,138939
204,J,139596
