,key,time
0,X,0
1,S,588
2,P,1818
3,K,2312
4,D,2852
5, ,3405
6,P,4158
7,8,4772
8,7,5219
9,J,6392
10,N,6767
11,P,7307
12, ,7887
13,G,8477
14,G,8793
15,B,9227
16,B,9647
17,E,10097
18,I,11042
19, ,11598
20,F,12212
21,A,12662
22,R,13410
23,Z,14823
24,4,15378
25,T,15975
26, ,16682
27,3,17237
28,D,17988
29,A,18513
30,0,19349
31,V,19832
32,B,20297
33,C,21587
34,N,21949
35,L,22423
36,S,23122
37,Y,23612
38,R,24017
39, ,24467
40,0,24992
41,3,27661
42,A,28382
43,P,29624
44,J,30151
45,A,30631
46, ,31096
47,1,31681
48,O,32537
49,9,33767
50,Y,35101
51,Q,35878
52,8,37187
53, ,37678
54,M,38477
55,T,39151
56,X,40078
57,0,41416
58,5,41910
59,0,42511
60, ,43261
61,O,44176
62,4,44775
63,Z,45642
64,U,45991
65,Z,46530
66,H,47126
67,5,48615
68,W,49365
69,E,49377
70,Backspace,50251
71,6,52125
72,G,52771
73,L,53821
74,B,54420
75, ,55274
76,U,55781
77,C,56370
78,7,57615
79,Q,58335
80,J,59353
81,C,59836
82, ,60403
83,1,61006
84,7,61651
85,Q,62505
86,V,63012
87,M,64080
88,C,64886
89, ,65501
90,0,66314
91,S,67035
92,F,68129
93,Z,68774
94,W,70080
95,9,70710
96, ,71471
97,O,72388
98,8,73139
99,7,74009
100,U,74760
101,D,75806
102,9,76558
103,H,77730
104,6,78359
105,M,79574
106,5,80249
107,K,81149
108,Z,81674
109, ,82259
110,L,82813
111,V,83351
112,1,84179
113,W,84865
114,E,85319
115,D,85825
116, ,86399
117,E,86849
118,R,87314
119,A,87899
120,H,88799
121,U,89279
122,W,89864
123, ,90419
124,N,90913
125,E,91423
126,K,92009
127,P,92908
128,V,93463
129,W,93990
130, ,94664
131,4,95785
132,I,96250
133,J,96958
134,4,98173
135,3,98682
136,5,99448
137,6,101414
138,K,101923
139,U,102643
140,Q,103693
141,Q,104112
142,E,104649
143, ,105298
144,J,105898
145,L,106389
146,F,107083
147,1,107848
148,B,108328
149,2,108837
150, ,109393
151,R,109933
152,3,110772
153,G,111687
154,I,112317
155,S,113323
156,1,113858
157, ,114461
158,Y,115062
159,T,115571
160,2,116409
161,9,117088
162,I,117897
163,R,118374
164, ,118963
165,X,119683
166,N,120188
167,H,120777
168,7,121737
169,F,122305
170,I,122952
171,C,124059
172,X,124718
173,T,125768
174,Y,126684
175,Y,127133
176,N,127677
177, ,128157
178,L,128682
179,2,129206
180,D,129729
181,8,131258
182,6,132266
183,X,133032
184, ,133496
185,6,134261
186,8,134831
187,H,135833
188,O,136212
189,M,136676
190,M,137081
191, ,137546
192,9,138070
193,2,138535
194,T,139406
195,O,139913
196,F,140920
197,K,141401
198, ,141971
199,G,142466
200,2,143321
201,S,144173
202,V,144682
203,5,145913
204,4,146231
