,key,time
0,V,0
1,L,506
2,Q,990
3,F,1785
4,H,2219
5, ,2651
6,Y,3240
7,O,3704
8,H,4230
9,G,4785
10,4,5280
11,N,5760
12, ,6266
13,3,6795
14,G,7274
15,Z,7886
16,Q,9074
17,9,10122
18,B,10784
19, ,11340
20,1,11759
21,C,12224
22,O,12734
23,M,13184
24,4,13720
25,U,14234
26, ,14699
27,A,15134
28,T,15524
29,C,16019
30,P,16841
31,M,17279
32,2,17744
33,B,18840
34,3,19394
35,W,20174
36,H,20624
37,R,21178
38,I,21719
39, ,22229
40,T,23115
41,4,23698
42,8,24299
43,X,25844
44,8,26305
45,C,26862
46, ,27344
47,R,27793
48,M,28303
49,A,28840
50,V,30659
51,B,31167
52,H,31708
53, ,32278
54,A,32773
55,2,33238
56,1,33792
57,A,34409
58,9,34933
59,2,35503
60, ,36073
61,K,36613
62,9,37393
63,Q,38322
64,5,40454
65,J,41289
66,K,41713
67,0,42973
68,0,43437
69,6,44263
70,O,45955
71,Q,46449
72,L,46974
73, ,47484
74,Q,47905
75,N,48385
76,F,48988
77,I,50006
78,D,50876
79,I,51400
80, ,51834
81,S,52269
82,U,52719
83,F,53289
84,4,53919
85,W,54459
86,U,54958
87, ,55542
88,7,56652
89,2,57148
90,E,58377
91,3,59097
92,Z,59773
93,I,60353
94, ,60837
95,6,61677
96,T,62082
97,C,66567
98,8,67797
99,G,68603
100,J,69628
101,E,70842
102,Z,71727
103,4,72882
104,X,73796
105,7,75177
106,Y,76017
107, ,76602
108,E,77066
109,H,77516
110,P,78053
111,6,79343
112,Y,79811
113,Y,80168
114, ,80667
115,W,81116
116,E,81578
117,P,82241
118,5,83081
119,2,83756
120,M,84611
121, ,85151
122,W,85811
123,T,86456
124,X,87698
125,V,88868
126,O,89261
127,U,89650
128, ,90147
129,V,90776
130,X,91316
131,7,92681
132,P,93277
133,S,94061
134,S,94376
135,R,95933
136,R,96565
137,7,98755
138,J,100225
139,6,101590
140,D,102175
141, ,102715
142,A,103121
143,V,103555
144,L,104200
145,5,104965
146,R,105863
147,L,106675
148, ,107211
149,3,107766
150,U,108397
151,0,109387
152,O,110095
153,F,110950
154,1,111475
155, ,112090
156,K,112751
157,3,113380
158,S,114249
159,G,115090
160,9,116151
161,N,116649
162, ,117123
163,8,117760
164,K,118345
165,J,121884
166,F,122451
167,X,123835
168,J,125333
169,N,126879
170,S,127372
171,B,127956
172,N,128811
173,5,129775
174,M,130329
175, ,130779
176,B,131306
177,Z,131857
178,K,132505
179,5,133179
180,1,133795
181,7,134484
182, ,135051
183,D,135574
184,W,136176
185,Z,137092
186,T,137933
187,6,138953
188,L,139584
189, ,140106
190,G,140709
191,0,141396
192,9,142193
193,8,142836
194,D,143664
195,Y,144200
196, ,144785
197,E,145325
198,P,145844
199,D,146368
200,0,147131
201,C,147640
202,1,148180
