,key,time
0,6,0.0
1,F,608.0
2,W,1256.0
3,N,1976.0
4,I,2561.0
5,J,3266.0
6, ,3867.0
7,A,6653.0
8,K,7361.0
9,5,8317.0
10,L,9250.0
11,C,9835.0
12,M,10417.0
13, ,11141.0
14,1,11995.0
15,2,12577.0
16,H,13683.0
17,W,14332.0
18,T,15206.0
19,4,15775.0
20, ,16359.0
21,V,16990.0
22,9,17751.0
23,S,18640.0
24,1,19210.0
25,D,20380.0
26,0,20965.0
27, ,21486.0
28,N,21970.0
29,O,22539.0
30,E,23211.0
31,Z,23796.0
32,M,24369.0
33,J,24895.0
34,F,25989.0
35,P,26544.0
36,J,27850.0
37,L,28674.0
38,0,29364.0
39,9,29891.0
40, ,30455.0
41,U,30954.0
42,A,31582.0
43,Y,32454.0
44,D,33234.0
45,2,33699.0
46,6,34225.0
47, ,34704.0
48,8,35393.0
49,L,35949.0
50,W,36519.0
51,Y,37464.0
52,H,37973.0
53,0,38708.0
54, ,39262.0
55,R,39759.0
56,X,40344.0
57,1,41075.0
58,Y,41708.0
59,3,42369.0
60,A,42983.0
61, ,43523.0
62,3,44139.0
63,X,44750.0
64,P,45939.0
65,G,46730.0
66,H,47993.0
67,O,48503.0
68,B,49969.0
69,H,50677.0
70,7,51608.0
71,A,52159.0
72,X,52985.0
73,O,53663.0
74, ,54320.0
75,I,54859.0
76,V,55403.0
77,T,56138.0
78,G,56719.0
79,U,57232.0
80,C,57757.0
81, ,58313.0
82,I,58912.0
83,B,59464.0
84,O,60007.0
85,Q,61013.0
86,T,61927.0
87,1,62843.0
88, ,63214.0
89,9,64085.0
90,B,64746.0
91,4,65948.0
92,K,66532.0
93,T,69817.0
94,Q,70578.0
95, ,71103.0
96,M,71752.0
97,S,72261.0
98,Y,72828.0
99,7,73833.0
100,N,74316.0
101,9,74763.0
102,8,76098.0
103,E,76957.0
104,S,77751.0
105,8,78336.0
106,3,79147.0
107,Z,79881.0
108, ,80332.0
109,P,81022.0
110,6,81907.0
111,Q,82761.0
112,P,83388.0
113,2,84351.0
114,G,85011.0
115, ,85596.0
116,C,86147.0
117,5,86777.0
118,R,87753.0
119,R,88202.0
120,S,88802.0
121,E,89345.0
122, ,89865.0
123,P,90846.0
124,7,91506.0
125,V,92825.0
126,S,93422.0
127,R,96140.0
128,7,96692.0
129, ,97187.0
130,M,97820.0
131,Q,98390.0
132,J,98945.0
133,K,99695.0
134,7,100696.0
135,3,101223.0
136,Y,102485.0
137,J,103040.0
138,U,103686.0
139,D,104401.0
140,C,104945.0
141,8,105722.0
142, ,106621.0
143,L,107240.0
144,X,107914.0
145,E,110356.0
146,Z,110929.0
147,Q,111586.0
148,W,112355.0
149, ,113071.0
150,9,113779.0
151,4,114485.0
152,K,115595.0
153,I,116194.0
154,4,117064.0
155,B,117934.0
156, ,118473.0
157,F,119059.0
158,L,119749.0
159,5,122400.0
160,H,123544.0
161,M,124140.0
162,W,124774.0
163, ,125297.0
164,N,125854.0
165,5,126392.0
166,0,126948.0
167,3,128445.0
168,I,129424.0
169,A,130290.0
170,V,131479.0
171,8,132227.0
172,D,133023.0
173,K,133559.0
174,1,134164.0
175,U,134684.0
176, ,135224.0
177,X,135963.0
178,0,136740.0
179,V,137688.0
180,U,138303.0
181,Z,139263.0
182,2,139803.0
183, ,140448.0
184,F,141136.0
185,B,141749.0
186,G,142742.0
187,5,143447.0
188,4,144104.0
189,O,144973.0
190, ,145574.0
191,6,146508.0
192,G,147525.0
193,N,148304.0
194,Z,149117.0
195,T,150614.0
196,6,151140.0
197, ,151785.0
198,F,152313.0
199,2,152897.0
200,E,153827.0
201,D,154278.0
202,C,155492.0
203,R,155971.0
