,key,time
0,X,0
1,9,773
2,6,1784
3,5,2155
4,Y,2684
5, ,3223
6,N,3896
7,F,4408
8,4,5068
9,S,6494
10,E,6959
11,I,7544
12, ,8069
13,A,8530
14,W,8968
15,W,9445
16,4,9940
17,1,10409
18,X,11129
19, ,11729
20,D,12553
21,J,13108
22,3,13989
23,L,14383
24,U,15313
25,7,16153
26, ,16692
27,B,17263
28,I,17713
29,8,18373
30,0,19603
31,U,20053
32,9,20562
33,A,21538
34,1,22047
35,C,22783
36,I,23788
37,Y,24508
38,T,24984
39, ,25494
40,Z,29728
41,7,30504
42,P,31168
43,0,31738
44,0,32142
45,Z,32907
46, ,33489
47,3,34092
48,B,34767
49,K,35529
50,C,36038
51,S,36551
52,I,37047
53, ,37556
54,W,38066
55,4,38651
56,M,39504
57,H,40092
58,7,40978
59,L,41483
60, ,42010
61,J,42761
62,2,43347
63,0,44262
64,Q,45042
65,C,45837
66,6,46346
67,E,47606
68,3,48162
69,2,60218
70,5,60865
71,V,61661
72,A,62212
73, ,62724
74,G,66412
75,O,67016
76,F,68212
77,B,68905
78,M,69655
79,H,70195
80, ,70733
81,K,71320
82,2,71921
83,1,72461
84,E,74681
85,R,75071
86,1,75790
87, ,76405
88,8,77185
89,Z,77875
90,V,80110
91,T,80871
92,D,81295
93,9,82179
94, ,82870
95,U,83335
96,T,83890
97,V,85611
98,F,93489
99,N,94056
100,A,94599
101,K,99891
102,R,100355
103,G,100914
104,H,102684
105,X,103419
106,7,103988
107, ,104723
108,R,114500
109,Q,115205
110,V,116030
111,U,116498
112,S,117143
113,G,118194
114, ,118733
115,Y,119484
116,H,119914
117,Z,120788
118,L,121703
119,5,122183
120,S,122798
121, ,123458
122,2,124342
123,I,125573
124,W,126289
125,O,127133
126,T,127868
127,Y,128404
128, ,129067
129,2,130342
130,O,131272
131,P,132233
132,O,132709
133,G,133417
134,1,134029
135,3,135679
136,Q,136372
137,L,137224
138,P,137541
139,3,138034
140,N,138709
141, ,139233
142,H,139732
143,E,140032
144,F,140493
145,6,141652
146,9,142191
147,U,142640
148, ,143122
149,J,143767
150,M,144198
151,B,144786
152,Q,145597
153,X,146316
154,5,147292
155, ,147801
156,P,148941
157,4,149571
158,J,150501
159,6,151267
160,A,151881
161,C,152332
162, ,152857
163,J,153362
164,8,153993
165,X,155133
166,W,155793
167,Z,156543
168,0,157041
169,K,158571
170,F,159066
171,P,159682
172,S,160236
173,E,160686
174,C,161225
175, ,161747
176,O,162275
177,4,162891
178,5,169982
179,Y,170614
180,M,171156
181,R,171635
182, ,172100
183,6,172847
184,8,173405
185,T,174289
186,D,174785
187,K,175610
188,R,176195
189, ,176735
190,M,177275
191,B,177755
192,D,178487
193,V,179447
194,N,179930
195,L,180529
196, ,181070
197,8,181757
198,Q,182345
199,N,183185
200,D,184100
201,7,185285
202,G,185824
